水平,shuǐpíng,shui3ping2,1
睡,shuì,shui4,1
睡觉,shuìjiào,shui4jiao4,1
说,shuō,shuo1,1
说明,shuōmíng,shuo1ming2,1
思想,sīxiǎng,si1xiang3,1
死,sǐ,si3,1
四,sì,si4,1
送,sòng,song4,1
宿舍,sùshè,su4she4,1
酸,suān,suan1,1
算,suàn,suan4,1
虽然,suīrán,sui1ran2,1
岁,suì,sui4,1
所以,suǒyǐ,suo3yi3,1
所有,suǒyǒu,suo3you3,1
他,tā,ta1,1
他们,tāmen,ta1men,1
它,tā,ta1,1
它们,tāmen,ta1men,1
她,tā,ta1,1
她们,tāmen,ta1men,1
抬,tái,tai2,1
太,tài,tai4,1
太阳,tàiyáng,tai4yang2,1
态度,tàidu,tai4du,1
谈,tán,tan2,1
汤,tāng,tang1,1
糖,táng,tang2,1
躺,tǎng,tang3,1
讨论,tǎolùn,tao3lun4,1
特别,tèbié,te4bie2,1
疼,téng,teng2,1
踢,tī,ti1,1
提,tí,ti2,1
提高,tígāo,ti2gao1,1
体育,tǐyù,ti3yu4,1
天,tiān,tian1,1
天气,tiānqì,tian1qi4,1
条,tiáo,tiao2,1
条件,tiáojiàn,tiao2jian4,1
跳,tiào,tiao4,1
跳舞,tiàowǔ,tiao4wu3,1
听,tīng,ting1,1
听见,tīngjiàn,ting1jian4,1
听说,tīngshuō,ting1shuo1,1
听写,tīngxiě,ting1xie3,1
停,tíng,ting2,1
挺,tǐng,ting3,1
通,tōng,tong1,1
通过,tōngguò,tong1guo4,1
通知,tōngzhī,tong1zhi1,1
同时,tóngshí,tong2shi2,1
同学,tóngxué,tong2xue2,1
同意,tóngyì,tong2yi4,1
同志,tóngzhì,tong2zhi4,1
痛快,tòngkuai,tong4kuai,1
头,tóu,tou2,1
突然,tūrán,tu1ran2,1
图书馆,túshūguǎn,tu2shu1guan3,1
团结,tuánjié,tuan2jie2,1
推,tuī,tui1,1
腿,tuǐ,tui3,1
退,tuì,tui4,1
脱,tuō,tuo1,1
袜子,wàzi,wa4zi,1
外,wài,wai4,1
外边,wàibiān,wai4bian1,1
外国,wàiguó,wai4guo2,1
外语,wàiyǔ,wai4yu3,1
完,wán,wan2,1
完成,wánchéng,wan2cheng2,1
完全,wánquán,wan2quan2,1
玩儿,wánr,wan2r,1
碗,wǎn,wan3,1
晚,wǎn,wan3,1
晚饭,wǎnfàn,wan3fan4,1
晚会,wǎnhuì,wan3hui4,1
晚上,wǎnshang,wan3shang,1
万,wàn,wan4,1
往,wǎng,wang3,1
往,wǎng,wang3,1
忘,wàng,wang4,1
危险,wēixiǎn,wei1xian3,1
为,wéi,wei2,1
伟大,wěidà,wei3da4,1
喂,wèi,wei4,1
位,wèi,wei4,1
为,wèi,wei4,1
为了,wèile,wei4le,1
为什么,wèishénme,wei4shen2me,1
文化,wénhuà,wen2hua4,1
文学,wénxué,wen2xue2,1
文学家,wénxuéjiā,wen2xue2jia1,1
文艺,wényì,wen2yi4,1
文章,wénzhāng,wen2zhang1,1
问,wèn,wen4,1
问好,wènhǎo,wen4hao3,1
问题,wèntí,wen4ti2,1
我,wǒ,wo3,1
我们,wǒmen,wo3men,1
握手,wòshǒu,wo4shou3,1
屋子,wūzi,wu1zi,1
五,wǔ,wu3,1
午饭,wǔfàn,wu3fan4,1
物理,wùlǐ,wu4li3,1
西,xī,xi1,1
西边,xībiān,xi1bian1,1
